"Entity","Code","Year","Share.of.youth.not.in.education..employment.or.training..total....of.youth.population.","pop_15_24"
"Jordan","JOR",2018,36.52,1998344
"Jordan","JOR",2019,36,2006886
"Jordan","JOR",2020,35.38,2014313
"Jordan","JOR",2021,32.85,2028554
"Kazakhstan","KAZ",2001,18.6,2886985
"Kazakhstan","KAZ",2002,14.88,2956147
"Kazakhstan","KAZ",2003,13.53,3022761
"Kazakhstan","KAZ",2004,13.24,3082390
"Kazakhstan","KAZ",2005,12.81,3131360
"Kazakhstan","KAZ",2006,12.5,3165857
"Kazakhstan","KAZ",2007,10.73,3182645
"Kazakhstan","KAZ",2008,9.71,3180597
"Kazakhstan","KAZ",2009,9.55,3156257
"Kazakhstan","KAZ",2010,8.2,3104497
"Kazakhstan","KAZ",2011,7.8,3026521
"Kazakhstan","KAZ",2012,8.03,2929683
"Kazakhstan","KAZ",2013,8.02,2828064
"Kazakhstan","KAZ",2014,8.76,2731937
"Kazakhstan","KAZ",2015,8.46,2647153
"Kazakhstan","KAZ",2016,9.49,2579071
"Kenya","KEN",1999,32.43,6357672
"Kenya","KEN",2005,22.7,7769707
"Kenya","KEN",2006,22.7,7972413
"Kenya","KEN",2016,13.73,9657352
"Kenya","KEN",2019,19.67,10437566
"Kiribati","KIR",2015,46.89,23448
"Kiribati","KIR",2019,52.01,23138
"Kiribati","KIR",2020,47.58,23027
"Kosovo","OWID_KOS",2012,35.88,350914
"Kosovo","OWID_KOS",2013,35.77,348686
"Kosovo","OWID_KOS",2014,30.23,340532
"Kosovo","OWID_KOS",2015,31.68,328125
"Kosovo","OWID_KOS",2016,30.26,322952
"Kosovo","OWID_KOS",2017,27.56,325601
"Kosovo","OWID_KOS",2018,29.69,324368
"Kosovo","OWID_KOS",2019,32.61,318212
"Kosovo","OWID_KOS",2020,33.48,315351
"Kosovo","OWID_KOS",2021,32.04,310383
"Kyrgyzstan","KGZ",2009,17.8,1192252
"Kyrgyzstan","KGZ",2010,14.87,1195669
"Kyrgyzstan","KGZ",2011,14.59,1184064
"Kyrgyzstan","KGZ",2012,15.66,1159872
"Kyrgyzstan","KGZ",2013,18.56,1134189
"Kyrgyzstan","KGZ",2014,18.37,1112593
"Kyrgyzstan","KGZ",2015,18.25,1094705
"Kyrgyzstan","KGZ",2016,17.57,1084865
"Kyrgyzstan","KGZ",2017,18.19,1083733
"Kyrgyzstan","KGZ",2018,17.54,1082310
"Kyrgyzstan","KGZ",2019,18.11,1073890
"Kyrgyzstan","KGZ",2020,18.07,1066278
"Kyrgyzstan","KGZ",2021,15.89,1067871
"Laos","LAO",2010,5.12,1394598
"Laos","LAO",2017,25.8,1426804
"Latin America and Caribbean (WB)","",2005,21.053526,NA
"Latin America and Caribbean (WB)","",2006,20.072283,NA
"Latin America and Caribbean (WB)","",2007,20.343653,NA
"Latin America and Caribbean (WB)","",2008,19.975561,NA
"Latin America and Caribbean (WB)","",2009,20.30469,NA
"Latin America and Caribbean (WB)","",2011,20.09968,NA
"Latin America and Caribbean (WB)","",2012,20.14575,NA
"Latin America and Caribbean (WB)","",2013,20.514814,NA
"Latin America and Caribbean (WB)","",2014,20.55131,NA
"Latin America and Caribbean (WB)","",2015,21.173841,NA
"Latin America and Caribbean (WB)","",2016,21.646769,NA
"Latin America and Caribbean (WB)","",2017,21.705666,NA
"Latin America and Caribbean (WB)","",2018,21.549952,NA
"Latin America and Caribbean (WB)","",2019,21.364777,NA
"Latin America and Caribbean (WB)","",2020,24.427813,NA
"Latin America and Caribbean (WB)","",2021,21.243404,NA
"Latvia","LVA",2003,12.73,348493
"Latvia","LVA",2004,12.34,349860
"Latvia","LVA",2005,10.89,348942
"Latvia","LVA",2006,11.46,346037
"Latvia","LVA",2007,11.94,341045
"Latvia","LVA",2008,11.82,329926
"Latvia","LVA",2009,17.49,310772
"Latvia","LVA",2010,17.81,288896
"Latvia","LVA",2011,16.03,269007
"Latvia","LVA",2012,14.89,251600
"Latvia","LVA",2013,13.03,234663
"Latvia","LVA",2014,12.01,219185
"Latvia","LVA",2015,10.52,205961
"Latvia","LVA",2016,11.21,193965
"Latvia","LVA",2017,10.26,184066
"Latvia","LVA",2018,7.84,177911
"Latvia","LVA",2019,7.86,174763
"Latvia","LVA",2020,7.06,173663
"Latvia","LVA",2021,8.63,175458
"Lebanon","LBN",2007,21.3,934076
"Lebanon","LBN",2019,23.52,962856
"Lesotho","LSO",2019,35.15,442154
"Liberia","LBR",2010,24.28,767521
"Liberia","LBR",2014,15.13,863465
"Liberia","LBR",2016,13.23,907341
"Liberia","LBR",2017,40.78,931020
"Lithuania","LTU",2004,9.88,499248
"Lithuania","LTU",2005,8.77,489443
"Lithuania","LTU",2006,8.32,481420
"Lithuania","LTU",2007,7.07,479777
"Lithuania","LTU",2008,8.85,476319
"Lithuania","LTU",2009,12.12,466197
"Lithuania","LTU",2010,13.17,446788
"Lithuania","LTU",2011,11.82,425511
"Lithuania","LTU",2012,11.17,409606
"Lithuania","LTU",2013,11.14,396430
"Lithuania","LTU",2014,9.91,383924
"Lithuania","LTU",2015,9.2,367795
"Lithuania","LTU",2016,9.41,346813
"Lithuania","LTU",2017,9.15,322562
"Lithuania","LTU",2018,8.04,301976
"Lithuania","LTU",2019,8.65,289874
"Lithuania","LTU",2020,10.76,282074
"Lithuania","LTU",2021,11.32,278486
"Luxembourg","LUX",2003,5.14,51946
"Luxembourg","LUX",2004,6.25,53378
"Luxembourg","LUX",2005,5.5,54663
"Luxembourg","LUX",2006,6.69,55742
"Luxembourg","LUX",2007,5.66,56653
"Luxembourg","LUX",2008,6.21,57779
"Luxembourg","LUX",2009,5.79,58979
"Luxembourg","LUX",2010,5.12,60314
"Luxembourg","LUX",2011,4.74,62397
"Luxembourg","LUX",2012,5.89,64533
"Luxembourg","LUX",2013,4.99,65762
"Luxembourg","LUX",2014,6.26,66748
"Luxembourg","LUX",2015,6.17,67945
"Luxembourg","LUX",2016,5.37,69442
"Luxembourg","LUX",2017,5.91,70633
"Luxembourg","LUX",2018,5.28,71109
"Luxembourg","LUX",2019,5.6,71571
"Luxembourg","LUX",2020,6.55,71841
"Luxembourg","LUX",2021,8.67,72003
"Macao","MAC",2009,7.19,104796
"Macao","MAC",2010,6.19,103410
"Macao","MAC",2011,6.3,100308
"Macao","MAC",2012,5.76,96528
"Macao","MAC",2013,5.27,92802
"Macao","MAC",2014,5,89152
"Macao","MAC",2015,5.31,86180
"Macao","MAC",2016,4.96,84013
"Madagascar","MDG",2012,3.79,4673853
"Malawi","MWI",2005,17.24,2642342
"Malawi","MWI",2011,18.07,3079971
"Malawi","MWI",2013,19.46,3251280
"Malawi","MWI",2017,20.95,3674911
"Malawi","MWI",2020,19.41,4073817
"Malaysia","MYS",2011,14.37,5807631
"Malaysia","MYS",2012,13.95,5822500
"Malaysia","MYS",2013,13.65,5835429
"Malaysia","MYS",2014,12.77,5851292
"Malaysia","MYS",2016,11.69,5894267
"Malaysia","MYS",2017,11.8,5918163
"Malaysia","MYS",2018,12.47,5944209
"Malaysia","MYS",2019,11.41,5977503
"Malaysia","MYS",2020,13.63,5989715
"Maldives","MDV",2009,32.54,92398
"Maldives","MDV",2014,21.84,85138
"Maldives","MDV",2016,23.79,84022
"Maldives","MDV",2019,26.27,80487
"Mali","MLI",2010,13.47,3116990
"Mali","MLI",2013,18.22,3306979
"Mali","MLI",2014,21.31,3402660
"Mali","MLI",2015,24.94,3511533
"Mali","MLI",2016,33.98,3633816
"Mali","MLI",2017,28.56,3768258
"Mali","MLI",2018,26.72,3913003
"Mali","MLI",2020,30.86,4240843
"Malta","MLT",2004,12.22,60155
"Malta","MLT",2005,11.9,60162
"Malta","MLT",2006,10.34,60204
"Malta","MLT",2007,11.54,60063
"Malta","MLT",2008,8.27,59671
"Malta","MLT",2009,9.88,59147
"Malta","MLT",2010,9.53,58457
"Malta","MLT",2011,10.18,57728
"Malta","MLT",2012,10.82,57093
"Malta","MLT",2013,9.91,56192
"Malta","MLT",2014,10.27,55427
"Malta","MLT",2015,10.54,55022
"Malta","MLT",2016,8.76,54347
"Malta","MLT",2017,8.59,53862
"Malta","MLT",2018,7.28,54078
"Malta","MLT",2019,8.56,54639
"Malta","MLT",2020,9.3,54489
"Malta","MLT",2021,13.5,52653
"Marshall Islands","MHL",2019,42.94,8315
"Mauritania","MRT",2012,39.7,695072
"Mauritania","MRT",2017,35.53,802386
"Mauritania","MRT",2019,44.08,855576
"Mauritius","MUS",2001,33.84,214964
"Mauritius","MUS",2002,30.22,212032
"Mauritius","MUS",2003,27.36,208990
"Mauritius","MUS",2004,27.99,206109
"Mauritius","MUS",2005,28.48,203915
"Mauritius","MUS",2006,22.23,202683
"Mauritius","MUS",2007,20.61,202649
"Mauritius","MUS",2008,21.34,203686
"Mauritius","MUS",2009,21.83,204920
"Mauritius","MUS",2010,21.52,205781
"Mauritius","MUS",2011,21.54,206263
"Mauritius","MUS",2012,21.61,206637
"Mauritius","MUS",2013,21.17,206183
"Mauritius","MUS",2014,20.86,205254
"Mauritius","MUS",2015,20.09,203907
"Mauritius","MUS",2016,20.32,201545
"Mauritius","MUS",2017,19.94,198835
"Mauritius","MUS",2018,20.46,196242
"Mauritius","MUS",2019,18.08,194032
"Mauritius","MUS",2021,32.42,190197
"Mexico","MEX",2005,21.46,20143251
"Mexico","MEX",2006,21.3,20356174
"Mexico","MEX",2007,21.09,20597590
"Mexico","MEX",2008,21.91,20870889
"Mexico","MEX",2009,22.14,21148120
"Mexico","MEX",2010,22.18,21404723
"Mexico","MEX",2011,21.82,21616613
"Mexico","MEX",2012,21.14,21764654
"Mexico","MEX",2013,20.47,21875298
"Mexico","MEX",2014,20.28,21946711
"Mexico","MEX",2015,19.72,21973662
"Mexico","MEX",2016,19.5,21984658
"Mexico","MEX",2017,18.7,22003125
"Mexico","MEX",2018,18.41,22037958
"Mexico","MEX",2019,18.3,22065040
"Mexico","MEX",2020,20.38,22079943
"Mexico","MEX",2021,18.35,22102964
"Mexico","MEX",2022,17.32,22142815
"Micronesia (country)","FSM",2014,28.67,23546
"Moldova","MDA",2000,24.85,718662
"Moldova","MDA",2001,24.77,732038
"Moldova","MDA",2002,25.57,745693
"Moldova","MDA",2003,25.14,757408
"Moldova","MDA",2004,26.59,762414
"Moldova","MDA",2005,26.44,754084
"Moldova","MDA",2006,23.6,735702
"Moldova","MDA",2007,22.85,714238
"Moldova","MDA",2008,20.54,689638
"Moldova","MDA",2009,21.23,661493
"Moldova","MDA",2010,19.45,630068
"Moldova","MDA",2011,19.72,595890
"Moldova","MDA",2012,19.28,560873
"Moldova","MDA",2013,18.63,526975
"Moldova","MDA",2014,16.85,488812
"Moldova","MDA",2015,15.77,448240
"Moldova","MDA",2016,16.27,413264
"Moldova","MDA",2017,16.92,383061
"Moldova","MDA",2018,17.83,357458
"Moldova","MDA",2019,17.48,336423
"Moldova","MDA",2020,15.59,321254
"Moldova","MDA",2021,13.55,312209
"Moldova","MDA",2022,14.96,317207
"Mongolia","MNG",2003,19.84,559655
"Mongolia","MNG",2006,18.51,586481
"Mongolia","MNG",2008,17.84,587544
"Mongolia","MNG",2009,18.7,582317
"Mongolia","MNG",2010,17.63,573659
"Mongolia","MNG",2011,16.54,563461
"Mongolia","MNG",2012,17.59,551876
"Mongolia","MNG",2013,18.39,537926
"Mongolia","MNG",2014,17.45,522461
"Mongolia","MNG",2015,16.81,506403
"Mongolia","MNG",2016,20.45,490723
"Mongolia","MNG",2017,19.82,476221
"Mongolia","MNG",2018,18.88,463552
"Mongolia","MNG",2019,18.45,453318
"Mongolia","MNG",2020,18.5,448247
"Mongolia","MNG",2021,17.18,449076
"Montenegro","MNE",2011,16.32,89004
"Montenegro","MNE",2012,16.94,88036
"Montenegro","MNE",2013,17.87,86744
"Montenegro","MNE",2014,17.72,85234
"Montenegro","MNE",2015,19.15,83542
"Montenegro","MNE",2016,18.4,81912
"Montenegro","MNE",2017,16.69,80199
"Montenegro","MNE",2018,16.3,78469
"Montenegro","MNE",2019,17.34,76814
"Montenegro","MNE",2020,21.09,75137
"Myanmar","MMR",2015,18.62,9123294
"Myanmar","MMR",2017,16.59,9122568
"Myanmar","MMR",2018,12.79,9109730
"Myanmar","MMR",2019,13.78,9080176
"Myanmar","MMR",2020,15.02,9043989
"Namibia","NAM",1994,25.14,326596
"Namibia","NAM",2010,34.12,474471
"Namibia","NAM",2012,31.15,486744
"Namibia","NAM",2013,32.01,493204
"Namibia","NAM",2014,30.47,499201
"Namibia","NAM",2016,33.55,504478
"Namibia","NAM",2018,31.88,505776
"Nauru","NRU",2013,36.4,1958
"Nepal","NPL",2008,23.13,5458577
"Nepal","NPL",2017,34.76,6256381
"Netherlands","NLD",2003,4.78,1966035
"Netherlands","NLD",2004,4.86,1976406
"Netherlands","NLD",2005,6.43,1985725
"Netherlands","NLD",2006,4.9,1995042
"Netherlands","NLD",2007,4.27,2009281
"Netherlands","NLD",2008,3.91,2030857
"Netherlands","NLD",2009,4.96,2053427
"Netherlands","NLD",2010,4.83,2070755
"Netherlands","NLD",2011,4.31,2080976
"Netherlands","NLD",2012,4.85,2085304
"Netherlands","NLD",2013,5.65,2090707
"Netherlands","NLD",2014,5.53,2100807
"Netherlands","NLD",2015,4.67,2113407
"Netherlands","NLD",2016,4.57,2129914
"Netherlands","NLD",2017,4,2147354
"Netherlands","NLD",2018,4.18,2161746
"Netherlands","NLD",2019,4.26,2173191
"Netherlands","NLD",2020,4.52,2174472
"Netherlands","NLD",2021,5.11,2171719
"New Caledonia","NCL",2014,11.84,44244
"New Caledonia","NCL",2017,39.24,42975
"New Caledonia","NCL",2018,32.43,42357
"New Caledonia","NCL",2019,27.91,41743
"New Caledonia","NCL",2020,33.02,41433
"New Zealand","NZL",2004,10.79,584862
"New Zealand","NZL",2005,11.12,594878
"New Zealand","NZL",2006,10.73,602402
"New Zealand","NZL",2007,10.98,605368
"New Zealand","NZL",2008,11.24,606601
"New Zealand","NZL",2009,14.25,610372
"New Zealand","NZL",2010,13.65,616256
"New Zealand","NZL",2011,13.46,620996
"New Zealand","NZL",2012,13.78,624056
"New Zealand","NZL",2013,12.22,629198
"New Zealand","NZL",2014,11.65,639075
"New Zealand","NZL",2015,11.54,650809
"New Zealand","NZL",2016,12.18,658535
"New Zealand","NZL",2017,11.92,659880
"New Zealand","NZL",2018,12.05,657662
"New Zealand","NZL",2019,11.62,656440
"New Zealand","NZL",2020,12.94,654226
"New Zealand","NZL",2021,11.85,646997
"Nicaragua","NIC",2001,26.08,1123060
"Nicaragua","NIC",2005,22.82,1159788
"Nicaragua","NIC",2012,15.02,1245883
"Nicaragua","NIC",2014,24.49,1254026
"Niger","NER",2011,19.43,3124170
"Niger","NER",2014,25.2,3576057
"Niger","NER",2017,68.66,4112456
"Nigeria","NGA",2011,29.09,32161656
"Nigeria","NGA",2013,27.85,33965739
"Nigeria","NGA",2016,27.06,37053331
"Nigeria","NGA",2019,36.65,40789168
"North America (WB)","",1994,15.4290495,NA
"North America (WB)","",1995,15.129742,NA
"North America (WB)","",1996,14.552558,NA
"North America (WB)","",1997,13.621971,NA
"North America (WB)","",1998,12.911961,NA
"North America (WB)","",1999,12.638135,NA
"North America (WB)","",2000,12.534339,NA
"North America (WB)","",2001,12.977395,NA
"North America (WB)","",2002,13.409834,NA
"North America (WB)","",2003,13.569708,NA
"North America (WB)","",2004,13.135208,NA
"North America (WB)","",2005,13.114571,NA
"North America (WB)","",2006,12.451392,NA
"North America (WB)","",2007,12.292866,NA
"North America (WB)","",2008,13.002264,NA
"North America (WB)","",2009,14.9656,NA
"North America (WB)","",2010,15.119583,NA
"North America (WB)","",2011,14.333639,NA
"North America (WB)","",2012,13.89842,NA
"North America (WB)","",2013,14.293463,NA
"North America (WB)","",2014,13.438797,NA
"North America (WB)","",2015,12.571196,NA
"North America (WB)","",2016,12.160821,NA
"North America (WB)","",2017,11.124344,NA
"North America (WB)","",2018,11.106554,NA
"North America (WB)","",2019,10.60194,NA
"North America (WB)","",2020,14.286924,NA
"North America (WB)","",2021,12.272405,NA
"North America (WB)","",2022,11.298054,NA
"North Macedonia","MKD",2006,34.48,329144
"North Macedonia","MKD",2007,33.65,324229
"North Macedonia","MKD",2008,31.24,318472
"North Macedonia","MKD",2009,27.94,313668
"North Macedonia","MKD",2010,26.42,309510
"North Macedonia","MKD",2011,25.32,305097
"North Macedonia","MKD",2012,25.23,299717
"North Macedonia","MKD",2013,24.64,293295
"North Macedonia","MKD",2014,25.69,285998
"North Macedonia","MKD",2015,24.93,277516
"North Macedonia","MKD",2016,24.98,267843
"North Macedonia","MKD",2017,25.61,257718
"North Macedonia","MKD",2018,25.08,247022
"North Macedonia","MKD",2019,18.81,235292
"North Macedonia","MKD",2020,19.81,223691
"North Macedonia","MKD",2021,18.36,215980
"North Macedonia","MKD",2022,18.45,212251
"Norway","NOR",2003,10.01,550499
"Norway","NOR",2004,9.18,558475
"Norway","NOR",2005,11.3,568555
"Norway","NOR",2006,4.56,580460
"Norway","NOR",2007,4.41,593437
"Norway","NOR",2008,4.13,607022
"Norway","NOR",2009,5,620727
"Norway","NOR",2010,4.9,635072
"Norway","NOR",2011,5.04,649095
"Norway","NOR",2012,5.16,660332
"Norway","NOR",2013,5.63,666660
"Norway","NOR",2014,5.47,669397
"Norway","NOR",2015,5.03,670113
"Norway","NOR",2016,5.37,668982
"Norway","NOR",2017,4.59,666316
"Norway","NOR",2018,4.85,663021
"Norway","NOR",2019,4.75,660587
"Norway","NOR",2020,4.9,657033
"Norway","NOR",2021,6.32,654134
"Pakistan","PAK",2006,36.17,37246984
"Pakistan","PAK",2007,34.97,38506142
"Pakistan","PAK",2008,33.33,39707913
"Pakistan","PAK",2009,31.47,40758272
"Pakistan","PAK",2010,31.1,41716471
"Pakistan","PAK",2011,32,42489340
"Pakistan","PAK",2013,31.01,43381195
"Pakistan","PAK",2014,30.91,43713135
"Pakistan","PAK",2015,30.41,44061906
"Pakistan","PAK",2018,30.96,45369018
"Pakistan","PAK",2019,29.71,45974324
"Pakistan","PAK",2021,34.56,47515877
"Palau","PLW",2000,27.23,2752
"Palau","PLW",2014,13.26,2494
"Palau","PLW",2020,18.04,2022
"Palestine","PSE",2000,31.86,629435
"Palestine","PSE",2001,35.6,652055
"Palestine","PSE",2002,34.58,674749
"Palestine","PSE",2003,30.44,698633
"Palestine","PSE",2004,29.88,724150
"Palestine","PSE",2005,28.95,751895
"Palestine","PSE",2006,28.21,781472
"Palestine","PSE",2007,28.14,811601
"Palestine","PSE",2008,28.8,840132
"Palestine","PSE",2009,27.98,865638
"Palestine","PSE",2010,28.08,888434
"Palestine","PSE",2011,27.13,908304
"Palestine","PSE",2012,29.39,924342
"Palestine","PSE",2013,31.17,937156
"Palestine","PSE",2014,32.47,947792
"Palestine","PSE",2015,31.61,956258
"Palestine","PSE",2016,32.28,962943
"Palestine","PSE",2017,33.04,966767
"Palestine","PSE",2018,33.18,969118
"Palestine","PSE",2019,32.65,973726
"Palestine","PSE",2020,33.65,983540
"Palestine","PSE",2021,31.18,998268
"Palestine","PSE",2022,28.18,1017217
"Panama","PAN",1997,25.41,549258
"Panama","PAN",2003,23.53,593191
"Panama","PAN",2008,22.04,627447
"Panama","PAN",2009,20.08,632370
"Panama","PAN",2010,20.89,637261
"Panama","PAN",2011,21.03,642360
"Panama","PAN",2012,17.59,647786
"Panama","PAN",2013,16.98,653590
"Panama","PAN",2014,18.76,659688
"Panama","PAN",2015,18.45,666079
"Panama","PAN",2016,17.09,673064
"Panama","PAN",2017,17.2,680556
"Panama","PAN",2018,16.38,688067
"Panama","PAN",2019,16.68,695612
"Panama","PAN",2020,18.74,702055
"Panama","PAN",2021,19.3,707105
"Panama","PAN",2022,17.56,712410
"Papua New Guinea","PNG",2010,35.5,1543346
"Paraguay","PRY",1998,23.78,939670
"Paraguay","PRY",1999,23.9,971926
"Paraguay","PRY",2001,21.45,1036305
"Paraguay","PRY",2002,25.03,1065229
"Paraguay","PRY",2003,21.85,1092631
"Paraguay","PRY",2004,20.57,1118466
"Paraguay","PRY",2005,18.88,1140849
"Paraguay","PRY",2006,19.19,1159075
"Paraguay","PRY",2007,19.56,1173630
"Paraguay","PRY",2008,17.55,1185102
"Paraguay","PRY",2009,18.01,1194355
"Paraguay","PRY",2010,19.5,1203836
"Paraguay","PRY",2011,16.91,1213682
"Paraguay","PRY",2012,16.02,1222200
"Paraguay","PRY",2013,14.58,1228443
"Paraguay","PRY",2014,16.83,1231908
"Paraguay","PRY",2015,17.45,1232349
"Paraguay","PRY",2016,18.57,1229059
"Paraguay","PRY",2017,18.59,1222029
"Peru","PER",2002,13.73,5465669
"Peru","PER",2003,20.32,5495124
"Peru","PER",2004,19.67,5517001
"Peru","PER",2005,23.99,5529913
"Peru","PER",2006,18.74,5533461
"Peru","PER",2007,16.99,5528697
"Peru","PER",2008,16.64,5503979
"Peru","PER",2009,16.08,5460561
"Peru","PER",2010,15.19,5415146
"Peru","PER",2011,15.83,5372586
"Peru","PER",2012,15.24,5334091
"Peru","PER",2013,16.33,5300485
"Peru","PER",2014,16.65,5278499
"Peru","PER",2015,18.59,5278080
"Peru","PER",2016,19.2,5307629
"Peru","PER",2017,17.35,5353476
"Peru","PER",2018,17.75,5434652
"Peru","PER",2019,16.87,5514950
"Peru","PER",2020,25.68,5556667
"Peru","PER",2021,22.7,5596679
"Philippines","PHL",2006,24.68,18277150
"Philippines","PHL",2007,25.03,18595774
"Philippines","PHL",2008,24.75,18882082
"Philippines","PHL",2009,24.81,19158580
"Philippines","PHL",2010,25.32,19513051
"Philippines","PHL",2011,24.42,19842013
"Philippines","PHL",2012,24.83,20154686
"Philippines","PHL",2013,24.3,20437714
"Philippines","PHL",2014,23.35,20655041
"Philippines","PHL",2015,22.84,20848163
"Philippines","PHL",2016,22.2,21017400
"Philippines","PHL",2017,21.7,21171174
"Philippines","PHL",2018,19.89,21285430
"Philippines","PHL",2019,18.76,21376810
"Philippines","PHL",2020,21.05,21499447
"Philippines","PHL",2021,17.47,21643411
"Poland","POL",2004,14.48,6324861
"Poland","POL",2005,13.91,6222441
"Poland","POL",2006,12.61,6108397
"Poland","POL",2007,10.59,5962724
"Poland","POL",2008,9.04,5769932
"Poland","POL",2009,10.11,5527143
"Poland","POL",2010,10.77,5341588
"Poland","POL",2011,11.5,5222051
"Poland","POL",2012,11.82,5061546
"Poland","POL",2013,12.21,4881314
"Poland","POL",2014,11.98,4704710
"Poland","POL",2015,10.99,4531892
"Poland","POL",2016,10.52,4363447
"Poland","POL",2017,9.48,4203835
"Poland","POL",2018,8.66,4057247
"Poland","POL",2019,8.13,3929364
"Poland","POL",2020,8.63,3826941
"Poland","POL",2021,11.2,3757498
"Portugal","PRT",2004,10.25,1326113
"Portugal","PRT",2005,11.09,1286640
"Portugal","PRT",2006,10.61,1252630
"Portugal","PRT",2007,11.16,1224500
"Portugal","PRT",2008,10.23,1199497
"Portugal","PRT",2009,11.2,1176949
"Portugal","PRT",2010,11.44,1158617
"Portugal","PRT",2011,12.55,1143822
"Portugal","PRT",2012,13.91,1129456
"Portugal","PRT",2013,14.07,1116062
"Portugal","PRT",2014,12.28,1107309
"Portugal","PRT",2015,11.27,1105511
"Portugal","PRT",2016,10.55,1101845
"Portugal","PRT",2017,9.34,1095615
"Portugal","PRT",2018,8.37,1091859
"Portugal","PRT",2019,8.02,1090585
"Portugal","PRT",2020,9.06,1091222
"Portugal","PRT",2021,7.61,1090513
"Romania","ROU",2003,19.33,3292104
"Romania","ROU",2004,18.84,3214945
"Romania","ROU",2005,16.8,3121271
"Romania","ROU",2006,14.77,3007989
"Romania","ROU",2007,13.31,2903902
"Romania","ROU",2008,11.57,2830861
"Romania","ROU",2009,13.94,2759252
"Romania","ROU",2010,16.61,2663631
"Romania","ROU",2011,17.47,2563325
"Romania","ROU",2012,16.81,2460934
"Romania","ROU",2013,16.96,2354832
"Romania","ROU",2014,17.01,2256247
"Romania","ROU",2015,18.08,2173780
"Romania","ROU",2016,17.38,2118176
"Romania","ROU",2017,15.15,2078280
"Romania","ROU",2018,14.52,2046012
"Romania","ROU",2019,14.66,2026281
"Romania","ROU",2020,14.75,2019948
"Romania","ROU",2021,18.02,2028692
"Russia","RUS",2009,14.08,21872201
"Russia","RUS",2010,14.21,21016969
"Russia","RUS",2011,12.69,20001187
"Russia","RUS",2012,11.99,18799391
"Russia","RUS",2013,11.82,17629591
"Russia","RUS",2014,12.03,16561122
"Russia","RUS",2015,12.03,15614021
"Russia","RUS",2016,12.41,14904231
"Rwanda","RWA",2014,5.16,2254861
"Rwanda","RWA",2017,25.59,2373734
"Rwanda","RWA",2018,26.3,2435085
"Rwanda","RWA",2019,28.55,2510135
"Rwanda","RWA",2020,26.14,2596155
"Rwanda","RWA",2021,29.05,2688579
"Saint Lucia","LCA",2017,33.76,31068
"Saint Lucia","LCA",2018,32.49,30425
"Saint Lucia","LCA",2019,29.94,29695
"Saint Lucia","LCA",2020,35.41,28893
"Saint Lucia","LCA",2021,39.2,28084
"Saint Lucia","LCA",2022,27.09,27358
"Samoa","WSM",2012,39.06,36343
"Samoa","WSM",2017,28.74,36406
"Saudi Arabia","SAU",2019,15.6,4452251
"Saudi Arabia","SAU",2020,20.32,4538170
"Saudi Arabia","SAU",2021,19.22,4640037
"Senegal","SEN",2015,36.26,2857744
"Senegal","SEN",2016,29.52,2960345
"Senegal","SEN",2017,35.52,3069801
"Senegal","SEN",2018,39.69,3185436
"Senegal","SEN",2019,33.9,3303793
"Serbia","SRB",2008,20.32,933135
"Serbia","SRB",2009,21.61,913118
"Serbia","SRB",2010,21.2,894217
"Serbia","SRB",2011,21.6,876467
"Serbia","SRB",2012,21.65,853986
"Serbia","SRB",2013,19.79,826999
"Serbia","SRB",2014,21,801915
"Serbia","SRB",2015,20.36,780089
"Serbia","SRB",2016,18.08,762356
"Serbia","SRB",2017,17.58,749383
"Serbia","SRB",2018,16.98,738173
"Serbia","SRB",2019,15.66,727080
"Serbia","SRB",2020,16.18,715687
"Serbia","SRB",2021,16.05,704464
"Seychelles","SYC",2019,21.82,16754
"Seychelles","SYC",2020,26.01,16438
"Sierra Leone","SLE",2003,21.13,992106
"Sierra Leone","SLE",2014,32.31,1371126
"Sierra Leone","SLE",2018,33.17,1544719
"Singapore","SGP",2013,3.7,1004652
"Singapore","SGP",2014,3.6,1010955
"Singapore","SGP",2015,3.6,1015577
"Singapore","SGP",2016,4.1,1015005
"Singapore","SGP",2017,4.5,1004120
"Singapore","SGP",2018,4.3,994259
"Singapore","SGP",2019,4.13,986372
"Singapore","SGP",2020,4.46,956714
"Singapore","SGP",2021,6.2,922705
"Slovakia","SVK",2003,19.97,889710
"Slovakia","SVK",2004,19.45,873382
"Slovakia","SVK",2005,16.86,857428
"Slovakia","SVK",2006,13.92,843716
"Slovakia","SVK",2007,11.63,828605
"Slovakia","SVK",2008,11.43,811804
"Slovakia","SVK",2009,12.96,791925
"Slovakia","SVK",2010,14.57,766906
"Slovakia","SVK",2011,14.31,740690
"Slovakia","SVK",2012,14.37,716509
"Slovakia","SVK",2013,14.26,693331
"Slovakia","SVK",2014,14.07,670490
"Slovakia","SVK",2015,13.97,647583
"Slovakia","SVK",2016,12.69,623228
"Slovakia","SVK",2017,12.33,599142
"Slovakia","SVK",2018,10.41,577394
"Slovakia","SVK",2019,10.48,561008
"Slovakia","SVK",2020,10.75,552194
"Slovakia","SVK",2021,11.08,545032
"Slovenia","SVN",2003,8,277258
"Slovenia","SVN",2004,7.73,271618
"Slovenia","SVN",2005,8.93,264877
"Slovenia","SVN",2006,8.52,258458
"Slovenia","SVN",2007,6.7,252742
"Slovenia","SVN",2008,6.5,246589
"Slovenia","SVN",2009,7.46,240414
"Slovenia","SVN",2010,7.11,233838
