"Entity","Code","Year","Share.of.youth.not.in.education..employment.or.training..total....of.youth.population.","pop_15_24","Continent"
"Europe and Central Asia (WB)","",2015,14.42748,NA,NA
"Europe and Central Asia (WB)","",2016,14.122602,NA,NA
"Europe and Central Asia (WB)","",2017,14.064725,NA,NA
"Europe and Central Asia (WB)","",2018,13.555829,NA,NA
"Europe and Central Asia (WB)","",2019,13.639197,NA,NA
"Fiji","FJI",2005,20.55,175723,"Oceania"
"Fiji","FJI",2011,18.4,168795,"Oceania"
"Fiji","FJI",2014,19.09,163650,"Oceania"
"Fiji","FJI",2016,20.09,159051,"Oceania"
"Finland","FIN",2003,10.96,650519,"Europe"
"Finland","FIN",2004,9.78,651057,"Europe"
"Finland","FIN",2005,8.09,653178,"Europe"
"Finland","FIN",2006,7.86,656124,"Europe"
"Finland","FIN",2007,7.09,658279,"Europe"
"Finland","FIN",2008,7.95,658906,"Europe"
"Finland","FIN",2009,9.84,658861,"Europe"
"Finland","FIN",2010,9.02,659481,"Europe"
"Finland","FIN",2011,8.43,660254,"Europe"
"Finland","FIN",2012,8.56,660561,"Europe"
"Finland","FIN",2013,9.3,657451,"Europe"
"Finland","FIN",2014,10.17,651550,"Europe"
"Finland","FIN",2015,10.56,644535,"Europe"
"Finland","FIN",2016,9.92,637050,"Europe"
"Finland","FIN",2017,9.4,628761,"Europe"
"Finland","FIN",2018,8.52,620178,"Europe"
"Finland","FIN",2019,8.16,613581,"Europe"
"Finland","FIN",2020,9.25,608627,"Europe"
"Finland","FIN",2021,7.65,607304,"Europe"
"France","FRA",2003,9.52,7844443,"Europe"
"France","FRA",2004,10.69,7895899,"Europe"
"France","FRA",2005,11.35,7917341,"Europe"
"France","FRA",2006,11.78,7896257,"Europe"
"France","FRA",2007,11,7853880,"Europe"
"France","FRA",2008,10.87,7822305,"Europe"
"France","FRA",2009,14.34,7794774,"Europe"
"France","FRA",2010,12.88,7760787,"Europe"
"France","FRA",2011,12.41,7702621,"Europe"
"France","FRA",2012,12.84,7657496,"Europe"
"France","FRA",2013,13.43,7670477,"Europe"
"France","FRA",2014,13.5,7680900,"Europe"
"France","FRA",2015,13.97,7674435,"Europe"
"France","FRA",2016,13.94,7736245,"Europe"
"France","FRA",2017,13.43,7797341,"Europe"
"France","FRA",2018,13.08,7831053,"Europe"
"France","FRA",2019,12.62,7878201,"Europe"
"France","FRA",2020,12.7,7915706,"Europe"
"France","FRA",2021,11.46,8003623,"Europe"
"Gambia","GMB",2012,34,425962,"Africa"
"Gambia","GMB",2018,29.44,487886,"Africa"
"Georgia","GEO",2012,32.56,550127,"Asia"
"Georgia","GEO",2013,30.95,529574,"Asia"
"Georgia","GEO",2014,28.77,508972,"Asia"
"Georgia","GEO",2015,27.44,487026,"Asia"
"Georgia","GEO",2016,26.82,466535,"Asia"
"Georgia","GEO",2017,24.76,449593,"Asia"
"Georgia","GEO",2018,26.85,437364,"Asia"
"Georgia","GEO",2019,26,429388,"Asia"
"Georgia","GEO",2020,24.91,424765,"Asia"
"Germany","DEU",2003,10.03,9550091,"Europe"
"Germany","DEU",2004,10.08,9627652,"Europe"
"Germany","DEU",2005,11.28,9693297,"Europe"
"Germany","DEU",2006,10.06,9576348,"Europe"
"Germany","DEU",2007,9.3,9349957,"Europe"
"Germany","DEU",2008,8.43,9238415,"Europe"
"Germany","DEU",2009,8.8,9241015,"Europe"
"Germany","DEU",2010,8.3,9243452,"Europe"
"Germany","DEU",2011,7.49,9153980,"Europe"
"Germany","DEU",2012,7.1,8973167,"Europe"
"Germany","DEU",2013,6.25,8784657,"Europe"
"Germany","DEU",2014,6.36,8715438,"Europe"
"Germany","DEU",2015,6.17,8754175,"Europe"
"Germany","DEU",2016,6.69,8810403,"Europe"
"Germany","DEU",2017,6.26,8776359,"Europe"
"Germany","DEU",2018,5.9,8712752,"Europe"
"Germany","DEU",2019,5.66,8644786,"Europe"
"Germany","DEU",2020,7.42,8551470,"Europe"
"Germany","DEU",2021,7.52,8394784,"Europe"
"Ghana","GHA",1991,21.32,3173483,"Africa"
"Ghana","GHA",2000,30.37,4083937,"Africa"
"Ghana","GHA",2006,26.92,4802706,"Africa"
"Ghana","GHA",2010,20.25,5147485,"Africa"
"Ghana","GHA",2013,14.13,5327861,"Africa"
"Ghana","GHA",2015,25.56,5485062,"Africa"
"Ghana","GHA",2017,23,5689296,"Africa"
"Greece","GRC",1987,21.95,1524608,"Europe"
"Greece","GRC",1988,21,1535985,"Europe"
"Greece","GRC",1989,19.67,1547929,"Europe"
"Greece","GRC",1990,18.7,1556493,"Europe"
"Greece","GRC",1991,19.71,1564819,"Europe"
"Greece","GRC",1992,17.92,1571497,"Europe"
"Greece","GRC",1993,19.3,1574323,"Europe"
"Greece","GRC",1994,18.34,1580564,"Europe"
"Greece","GRC",1995,18.25,1588532,"Europe"
"Greece","GRC",1996,18.78,1594375,"Europe"
"Greece","GRC",1997,18.13,1595633,"Europe"
"Greece","GRC",1998,19.45,1592349,"Europe"
"Greece","GRC",1999,26.19,1579565,"Europe"
"Greece","GRC",2000,24.96,1557615,"Europe"
"Greece","GRC",2001,24.51,1530989,"Europe"
"Greece","GRC",2002,24,1500524,"Europe"
"Greece","GRC",2003,29.11,1470712,"Europe"
"Greece","GRC",2004,24.52,1440718,"Europe"
"Greece","GRC",2005,22.44,1407986,"Europe"
"Greece","GRC",2006,13.33,1371856,"Europe"
"Greece","GRC",2007,13.05,1333062,"Europe"
"Greece","GRC",2008,13.1,1293586,"Europe"
"Greece","GRC",2009,13.47,1258034,"Europe"
"Greece","GRC",2010,15.77,1228068,"Europe"
"Greece","GRC",2011,18.31,1199999,"Europe"
"Greece","GRC",2012,21.13,1175008,"Europe"
"Greece","GRC",2013,21.24,1150209,"Europe"
"Greece","GRC",2014,19.87,1124831,"Europe"
"Greece","GRC",2015,17.9,1102822,"Europe"
"Greece","GRC",2016,16.24,1091203,"Europe"
"Greece","GRC",2017,15.88,1089276,"Europe"
"Greece","GRC",2018,14.69,1093746,"Europe"
"Greece","GRC",2019,12.98,1103889,"Europe"
"Greece","GRC",2020,13.53,1108297,"Europe"
"Greece","GRC",2021,12.05,1081796,"Europe"
"Guatemala","GTM",2003,22.9,2595261,"North America"
"Guatemala","GTM",2004,29.53,2673379,"North America"
"Guatemala","GTM",2006,24.53,2827356,"North America"
"Guatemala","GTM",2010,27.86,3135277,"North America"
"Guatemala","GTM",2011,25.11,3214165,"North America"
"Guatemala","GTM",2012,22.91,3288177,"North America"
"Guatemala","GTM",2013,27.65,3354617,"North America"
"Guatemala","GTM",2014,26.9,3413268,"North America"
"Guatemala","GTM",2015,26.66,3465928,"North America"
"Guatemala","GTM",2016,27.42,3518110,"North America"
"Guatemala","GTM",2017,27.26,3566590,"North America"
"Guatemala","GTM",2018,27.79,3603835,"North America"
"Guatemala","GTM",2019,28.19,3632122,"North America"
"Guinea","GIN",2002,24.4,1618486,"Africa"
"Guinea","GIN",2019,34.3,2696327,"Africa"
"Guinea-Bissau","GNB",2018,24.3,384315,"Africa"
"Guyana","GUY",2018,43.9,157452,"South America"
"Guyana","GUY",2019,46.39,158174,"South America"
"Haiti","HTI",2012,21.09,2112578,"North America"
"Honduras","HND",2005,27.02,1575887,"North America"
"Honduras","HND",2006,26.84,1611439,"North America"
"Honduras","HND",2007,27.58,1648076,"North America"
"Honduras","HND",2008,25.89,1685935,"North America"
"Honduras","HND",2009,26.62,1724891,"North America"
"Honduras","HND",2010,26.21,1764669,"North America"
"Honduras","HND",2011,27.55,1804154,"North America"
"Honduras","HND",2012,28.67,1841976,"North America"
"Honduras","HND",2013,26.81,1878555,"North America"
"Honduras","HND",2014,28.67,1915471,"North America"
"Honduras","HND",2015,26.96,1952774,"North America"
"Honduras","HND",2016,27.82,1988296,"North America"
"Honduras","HND",2017,27.72,2019723,"North America"
"Honduras","HND",2018,26.62,2045973,"North America"
"Honduras","HND",2019,26.8,2067357,"North America"
"Hong Kong","HKG",2009,7.41,919263,"Asia"
"Hong Kong","HKG",2010,6.95,908807,"Asia"
"Hong Kong","HKG",2011,6.16,901178,"Asia"
"Hong Kong","HKG",2012,6.14,898121,"Asia"
"Hong Kong","HKG",2013,6.68,888883,"Asia"
"Hong Kong","HKG",2014,6.62,866730,"Asia"
"Hong Kong","HKG",2015,6.6,838087,"Asia"
"Hong Kong","HKG",2016,6.1,805835,"Asia"
"Hong Kong","HKG",2017,6.38,767809,"Asia"
"Hong Kong","HKG",2018,6.49,726021,"Asia"
"Hong Kong","HKG",2019,6.72,683215,"Asia"
"Hong Kong","HKG",2020,8.99,642920,"Asia"
"Hong Kong","HKG",2021,7.24,610364,"Asia"
"Hungary","HUN",2004,12.38,1338526,"Europe"
"Hungary","HUN",2005,18.79,1312342,"Europe"
"Hungary","HUN",2006,12.43,1294314,"Europe"
"Hungary","HUN",2007,11.46,1279629,"Europe"
"Hungary","HUN",2008,11.46,1266585,"Europe"
"Hungary","HUN",2009,13.61,1256651,"Europe"
"Hungary","HUN",2010,12.56,1242547,"Europe"
"Hungary","HUN",2011,13.21,1222875,"Europe"
"Hungary","HUN",2012,14.78,1205235,"Europe"
"Hungary","HUN",2013,15.47,1184583,"Europe"
"Hungary","HUN",2014,13.62,1159935,"Europe"
"Hungary","HUN",2015,11.58,1133614,"Europe"
"Hungary","HUN",2016,11.05,1104925,"Europe"
"Hungary","HUN",2017,11.04,1078868,"Europe"
"Hungary","HUN",2018,10.73,1058432,"Europe"
"Hungary","HUN",2019,11,1038825,"Europe"
"Hungary","HUN",2020,11.71,1019545,"Europe"
"Hungary","HUN",2021,10.61,1007235,"Europe"
"Iceland","ISL",2003,4.48,42893,"Europe"
"Iceland","ISL",2004,6.93,43050,"Europe"
"Iceland","ISL",2005,4.66,43483,"Europe"
"Iceland","ISL",2006,4.8,44287,"Europe"
"Iceland","ISL",2007,4.1,45493,"Europe"
"Iceland","ISL",2008,4.32,46779,"Europe"
"Iceland","ISL",2009,7.33,47028,"Europe"
"Iceland","ISL",2010,7.35,46834,"Europe"
"Iceland","ISL",2011,6.69,47036,"Europe"
"Iceland","ISL",2012,5.89,47210,"Europe"
"Iceland","ISL",2013,5.47,47216,"Europe"
"Iceland","ISL",2014,5.72,47210,"Europe"
"Iceland","ISL",2015,4.55,47107,"Europe"
"Iceland","ISL",2016,4.12,47089,"Europe"
"Iceland","ISL",2017,3.87,47408,"Europe"
"Iceland","ISL",2018,4.87,47774,"Europe"
"Iceland","ISL",2019,4.71,47957,"Europe"
"Iceland","ISL",2020,6.03,47914,"Europe"
"Iceland","ISL",2021,4.88,48077,"Europe"
"India","IND",1994,38.4,180002654,"Asia"
"India","IND",2000,32.71,205461381,"Asia"
"India","IND",2004,26.13,222564049,"Asia"
"India","IND",2005,36.08,226212106,"Asia"
"India","IND",2010,28.94,240118488,"Asia"
"India","IND",2012,26.86,244284097,"Asia"
"India","IND",2018,30.81,255777477,"Asia"
"India","IND",2019,31.2,257010139,"Asia"
"India","IND",2020,30.7,257891451,"Asia"
"India","IND",2021,28.01,258395280,"Asia"
"Indonesia","IDN",1996,27.1,41219285,"Asia"
"Indonesia","IDN",1997,28.08,41747705,"Asia"
"Indonesia","IDN",1998,29.01,42245196,"Asia"
"Indonesia","IDN",1999,29.81,42706405,"Asia"
"Indonesia","IDN",2000,29.38,43067311,"Asia"
"Indonesia","IDN",2001,29.85,43267979,"Asia"
"Indonesia","IDN",2002,31.06,43384783,"Asia"
"Indonesia","IDN",2003,31.52,43465176,"Asia"
"Indonesia","IDN",2004,31.42,43491375,"Asia"
"Indonesia","IDN",2005,31.86,43454137,"Asia"
"Indonesia","IDN",2006,30.42,43397250,"Asia"
"Indonesia","IDN",2007,30.03,43307608,"Asia"
"Indonesia","IDN",2008,28.15,43187675,"Asia"
"Indonesia","IDN",2009,27.67,43100229,"Asia"
"Indonesia","IDN",2010,26.65,43112668,"Asia"
"Indonesia","IDN",2011,25.9,43277449,"Asia"
"Indonesia","IDN",2012,22.95,43525673,"Asia"
"Indonesia","IDN",2013,22.89,43738464,"Asia"
"Indonesia","IDN",2014,22.35,43870536,"Asia"
"Indonesia","IDN",2015,22.92,43971537,"Asia"
"Indonesia","IDN",2016,22.48,44056746,"Asia"
"Indonesia","IDN",2017,21.45,44142686,"Asia"
"Indonesia","IDN",2018,21.74,44234703,"Asia"
"Indonesia","IDN",2019,20.55,44320533,"Asia"
"Indonesia","IDN",2020,21.8,44455681,"Asia"
"Indonesia","IDN",2021,22.45,44628592,"Asia"
"Indonesia","IDN",2022,22.34,44817117,"Asia"
"Iran","IRN",2005,36.01,18360999,"Asia"
"Iran","IRN",2006,35.81,18416077,"Asia"
"Iran","IRN",2007,34.46,18243023,"Asia"
"Iran","IRN",2008,34.19,17869327,"Asia"
"Iran","IRN",2009,34.83,17358708,"Asia"
"Iran","IRN",2010,34.43,16747546,"Asia"
"Iran","IRN",2011,32.9,16072708,"Asia"
"Iran","IRN",2012,32.1,15372273,"Asia"
"Iran","IRN",2013,33.45,14672569,"Asia"
"Iran","IRN",2014,33.33,13986485,"Asia"
"Iran","IRN",2015,32.75,13327298,"Asia"
"Iran","IRN",2016,32.38,12754817,"Asia"
"Iran","IRN",2017,32.26,12310772,"Asia"
"Iran","IRN",2018,32.09,11968116,"Asia"
"Iran","IRN",2019,30.4,11719402,"Asia"
"Iran","IRN",2020,29.4,11566214,"Asia"
"Iran","IRN",2021,27.47,11583535,"Asia"
"Iraq","IRQ",2007,46.24,5678296,"Asia"
"Iraq","IRQ",2012,40.64,6780364,"Asia"
"Iraq","IRQ",2021,36.93,8465152,"Asia"
"Ireland","IRL",2003,8.84,637612,"Europe"
"Ireland","IRL",2004,10.36,634311,"Europe"
"Ireland","IRL",2005,15.13,634787,"Europe"
"Ireland","IRL",2006,14.43,646360,"Europe"
"Ireland","IRL",2007,10.06,661778,"Europe"
"Ireland","IRL",2008,12.52,661048,"Europe"
"Ireland","IRL",2009,18.29,639921,"Europe"
"Ireland","IRL",2010,19.43,607635,"Europe"
"Ireland","IRL",2011,19.14,580181,"Europe"
"Ireland","IRL",2012,19.18,567291,"Europe"
"Ireland","IRL",2013,16.42,565179,"Europe"
"Ireland","IRL",2014,15.24,568240,"Europe"
"Ireland","IRL",2015,14.25,572094,"Europe"
"Ireland","IRL",2016,12.57,577858,"Europe"
"Ireland","IRL",2017,10.93,590705,"Europe"
"Ireland","IRL",2018,10.07,606986,"Europe"
"Ireland","IRL",2019,10.09,620929,"Europe"
"Ireland","IRL",2020,12.02,630851,"Europe"
"Ireland","IRL",2021,7.73,642462,"Europe"
"Israel","ISR",2012,15.38,1157051,"Asia"
"Israel","ISR",2013,14.42,1173740,"Asia"
"Israel","ISR",2014,14.47,1191838,"Asia"
"Israel","ISR",2015,14.31,1212229,"Asia"
"Israel","ISR",2016,13.68,1234052,"Asia"
"Israel","ISR",2017,13.57,1256374,"Asia"
"Israel","ISR",2018,13.42,1282230,"Asia"
"Israel","ISR",2019,14.28,1309609,"Asia"
"Israel","ISR",2020,16.06,1335800,"Asia"
"Israel","ISR",2021,16.76,1361526,"Asia"
"Italy","ITA",2004,16.27,6079818,"Europe"
"Italy","ITA",2005,17.05,6023946,"Europe"
"Italy","ITA",2006,16.77,5978350,"Europe"
"Italy","ITA",2007,16.14,5975262,"Europe"
"Italy","ITA",2008,16.56,6009422,"Europe"
"Italy","ITA",2009,17.55,6026444,"Europe"
"Italy","ITA",2010,18.97,6036045,"Europe"
"Italy","ITA",2011,19.64,6045365,"Europe"
"Italy","ITA",2012,20.94,6053601,"Europe"
"Italy","ITA",2013,22.14,6029818,"Europe"
"Italy","ITA",2014,22.04,5974227,"Europe"
"Italy","ITA",2015,21.33,5924194,"Europe"
"Italy","ITA",2016,19.8,5894114,"Europe"
"Italy","ITA",2017,19.99,5883988,"Europe"
"Italy","ITA",2018,19.19,5876439,"Europe"
"Italy","ITA",2019,18.05,5867321,"Europe"
"Italy","ITA",2020,18.93,5858486,"Europe"
"Italy","ITA",2021,19.76,5863465,"Europe"
"Jamaica","JAM",2008,27.84,553084,"North America"
"Jamaica","JAM",2009,30.7,555883,"North America"
"Jamaica","JAM",2010,31.61,558126,"North America"
"Jamaica","JAM",2011,31.52,560041,"North America"
"Jamaica","JAM",2012,32.3,561232,"North America"
"Jamaica","JAM",2013,33.78,560735,"North America"
"Jamaica","JAM",2014,32.96,558065,"North America"
"Jamaica","JAM",2016,29.76,543621,"North America"
"Jamaica","JAM",2017,27.88,532685,"North America"
"Jamaica","JAM",2018,26.06,520842,"North America"
"Jamaica","JAM",2019,22.91,508887,"North America"
"Jamaica","JAM",2020,29.66,498607,"North America"
"Japan","JPN",2009,4.43,12536563,"Asia"
"Japan","JPN",2010,4.34,12328116,"Asia"
"Japan","JPN",2012,4.26,12062912,"Asia"
"Japan","JPN",2013,3.96,11988206,"Asia"
"Japan","JPN",2014,3.74,11952889,"Asia"
"Japan","JPN",2015,3.66,11956174,"Asia"
"Japan","JPN",2016,3.55,11985332,"Asia"
"Japan","JPN",2017,3.32,12015059,"Asia"
"Japan","JPN",2018,2.97,12031706,"Asia"
"Japan","JPN",2019,3.14,12010527,"Asia"
"Jordan","JOR",2017,38.06,1987036,"Asia"
"Jordan","JOR",2018,36.52,1998344,"Asia"
"Jordan","JOR",2019,36,2006886,"Asia"
"Jordan","JOR",2020,35.38,2014313,"Asia"
"Jordan","JOR",2021,32.85,2028554,"Asia"
"Kazakhstan","KAZ",2001,18.6,2886985,"Asia"
"Kazakhstan","KAZ",2002,14.88,2956147,"Asia"
"Kazakhstan","KAZ",2003,13.53,3022761,"Asia"
"Kazakhstan","KAZ",2004,13.24,3082390,"Asia"
"Kazakhstan","KAZ",2005,12.81,3131360,"Asia"
"Kazakhstan","KAZ",2006,12.5,3165857,"Asia"
"Kazakhstan","KAZ",2007,10.73,3182645,"Asia"
"Kazakhstan","KAZ",2008,9.71,3180597,"Asia"
"Kazakhstan","KAZ",2009,9.55,3156257,"Asia"
"Kazakhstan","KAZ",2010,8.2,3104497,"Asia"
"Kazakhstan","KAZ",2011,7.8,3026521,"Asia"
"Kazakhstan","KAZ",2012,8.03,2929683,"Asia"
"Kazakhstan","KAZ",2013,8.02,2828064,"Asia"
"Kazakhstan","KAZ",2014,8.76,2731937,"Asia"
"Kazakhstan","KAZ",2015,8.46,2647153,"Asia"
"Kazakhstan","KAZ",2016,9.49,2579071,"Asia"
"Kenya","KEN",1999,32.43,6357672,"Africa"
"Kenya","KEN",2005,22.7,7769707,"Africa"
"Kenya","KEN",2006,22.7,7972413,"Africa"
"Kenya","KEN",2016,13.73,9657352,"Africa"
"Kenya","KEN",2019,19.67,10437566,"Africa"
"Kiribati","KIR",2015,46.89,23448,"Oceania"
"Kiribati","KIR",2019,52.01,23138,"Oceania"
"Kiribati","KIR",2020,47.58,23027,"Oceania"
"Kosovo","OWID_KOS",2012,35.88,350914,"Europe"
"Kosovo","OWID_KOS",2013,35.77,348686,"Europe"
"Kosovo","OWID_KOS",2014,30.23,340532,"Europe"
"Kosovo","OWID_KOS",2015,31.68,328125,"Europe"
"Kosovo","OWID_KOS",2016,30.26,322952,"Europe"
"Kosovo","OWID_KOS",2017,27.56,325601,"Europe"
"Kosovo","OWID_KOS",2018,29.69,324368,"Europe"
"Kosovo","OWID_KOS",2019,32.61,318212,"Europe"
"Kosovo","OWID_KOS",2020,33.48,315351,"Europe"
"Kosovo","OWID_KOS",2021,32.04,310383,"Europe"
"Kyrgyzstan","KGZ",2009,17.8,1192252,"Asia"
"Kyrgyzstan","KGZ",2010,14.87,1195669,"Asia"
"Kyrgyzstan","KGZ",2011,14.59,1184064,"Asia"
"Kyrgyzstan","KGZ",2012,15.66,1159872,"Asia"
"Kyrgyzstan","KGZ",2013,18.56,1134189,"Asia"
"Kyrgyzstan","KGZ",2014,18.37,1112593,"Asia"
"Kyrgyzstan","KGZ",2015,18.25,1094705,"Asia"
"Kyrgyzstan","KGZ",2016,17.57,1084865,"Asia"
"Kyrgyzstan","KGZ",2017,18.19,1083733,"Asia"
"Kyrgyzstan","KGZ",2018,17.54,1082310,"Asia"
"Kyrgyzstan","KGZ",2019,18.11,1073890,"Asia"
"Kyrgyzstan","KGZ",2020,18.07,1066278,"Asia"
"Kyrgyzstan","KGZ",2021,15.89,1067871,"Asia"
"Laos","LAO",2010,5.12,1394598,"Asia"
"Laos","LAO",2017,25.8,1426804,"Asia"
"Latin America and Caribbean (WB)","",2005,21.053526,NA,NA
"Latin America and Caribbean (WB)","",2006,20.072283,NA,NA
"Latin America and Caribbean (WB)","",2007,20.343653,NA,NA
"Latin America and Caribbean (WB)","",2008,19.975561,NA,NA
"Latin America and Caribbean (WB)","",2009,20.30469,NA,NA
"Latin America and Caribbean (WB)","",2011,20.09968,NA,NA
"Latin America and Caribbean (WB)","",2012,20.14575,NA,NA
"Latin America and Caribbean (WB)","",2013,20.514814,NA,NA
"Latin America and Caribbean (WB)","",2014,20.55131,NA,NA
"Latin America and Caribbean (WB)","",2015,21.173841,NA,NA
"Latin America and Caribbean (WB)","",2016,21.646769,NA,NA
"Latin America and Caribbean (WB)","",2017,21.705666,NA,NA
"Latin America and Caribbean (WB)","",2018,21.549952,NA,NA
"Latin America and Caribbean (WB)","",2019,21.364777,NA,NA
"Latin America and Caribbean (WB)","",2020,24.427813,NA,NA
"Latin America and Caribbean (WB)","",2021,21.243404,NA,NA
"Latvia","LVA",2003,12.73,348493,"Europe"
"Latvia","LVA",2004,12.34,349860,"Europe"
"Latvia","LVA",2005,10.89,348942,"Europe"
"Latvia","LVA",2006,11.46,346037,"Europe"
"Latvia","LVA",2007,11.94,341045,"Europe"
"Latvia","LVA",2008,11.82,329926,"Europe"
"Latvia","LVA",2009,17.49,310772,"Europe"
"Latvia","LVA",2010,17.81,288896,"Europe"
"Latvia","LVA",2011,16.03,269007,"Europe"
"Latvia","LVA",2012,14.89,251600,"Europe"
"Latvia","LVA",2013,13.03,234663,"Europe"
"Latvia","LVA",2014,12.01,219185,"Europe"
"Latvia","LVA",2015,10.52,205961,"Europe"
"Latvia","LVA",2016,11.21,193965,"Europe"
"Latvia","LVA",2017,10.26,184066,"Europe"
"Latvia","LVA",2018,7.84,177911,"Europe"
"Latvia","LVA",2019,7.86,174763,"Europe"
"Latvia","LVA",2020,7.06,173663,"Europe"
"Latvia","LVA",2021,8.63,175458,"Europe"
"Lebanon","LBN",2007,21.3,934076,"Asia"
"Lebanon","LBN",2019,23.52,962856,"Asia"
"Lesotho","LSO",2019,35.15,442154,"Africa"
"Liberia","LBR",2010,24.28,767521,"Africa"
"Liberia","LBR",2014,15.13,863465,"Africa"
"Liberia","LBR",2016,13.23,907341,"Africa"
"Liberia","LBR",2017,40.78,931020,"Africa"
"Lithuania","LTU",2004,9.88,499248,"Europe"
"Lithuania","LTU",2005,8.77,489443,"Europe"
"Lithuania","LTU",2006,8.32,481420,"Europe"
"Lithuania","LTU",2007,7.07,479777,"Europe"
"Lithuania","LTU",2008,8.85,476319,"Europe"
"Lithuania","LTU",2009,12.12,466197,"Europe"
"Lithuania","LTU",2010,13.17,446788,"Europe"
"Lithuania","LTU",2011,11.82,425511,"Europe"
"Lithuania","LTU",2012,11.17,409606,"Europe"
"Lithuania","LTU",2013,11.14,396430,"Europe"
"Lithuania","LTU",2014,9.91,383924,"Europe"
"Lithuania","LTU",2015,9.2,367795,"Europe"
"Lithuania","LTU",2016,9.41,346813,"Europe"
"Lithuania","LTU",2017,9.15,322562,"Europe"
"Lithuania","LTU",2018,8.04,301976,"Europe"
"Lithuania","LTU",2019,8.65,289874,"Europe"
"Lithuania","LTU",2020,10.76,282074,"Europe"
"Lithuania","LTU",2021,11.32,278486,"Europe"
"Luxembourg","LUX",2003,5.14,51946,"Europe"
"Luxembourg","LUX",2004,6.25,53378,"Europe"
"Luxembourg","LUX",2005,5.5,54663,"Europe"
"Luxembourg","LUX",2006,6.69,55742,"Europe"
"Luxembourg","LUX",2007,5.66,56653,"Europe"
"Luxembourg","LUX",2008,6.21,57779,"Europe"
"Luxembourg","LUX",2009,5.79,58979,"Europe"
"Luxembourg","LUX",2010,5.12,60314,"Europe"
"Luxembourg","LUX",2011,4.74,62397,"Europe"
"Luxembourg","LUX",2012,5.89,64533,"Europe"
"Luxembourg","LUX",2013,4.99,65762,"Europe"
"Luxembourg","LUX",2014,6.26,66748,"Europe"
"Luxembourg","LUX",2015,6.17,67945,"Europe"
"Luxembourg","LUX",2016,5.37,69442,"Europe"
"Luxembourg","LUX",2017,5.91,70633,"Europe"
"Luxembourg","LUX",2018,5.28,71109,"Europe"
"Luxembourg","LUX",2019,5.6,71571,"Europe"
"Luxembourg","LUX",2020,6.55,71841,"Europe"
"Luxembourg","LUX",2021,8.67,72003,"Europe"
"Macao","MAC",2009,7.19,104796,"Asia"
"Macao","MAC",2010,6.19,103410,"Asia"
"Macao","MAC",2011,6.3,100308,"Asia"
"Macao","MAC",2012,5.76,96528,"Asia"
"Macao","MAC",2013,5.27,92802,"Asia"
"Macao","MAC",2014,5,89152,"Asia"
"Macao","MAC",2015,5.31,86180,"Asia"
"Macao","MAC",2016,4.96,84013,"Asia"
"Madagascar","MDG",2012,3.79,4673853,"Africa"
"Malawi","MWI",2005,17.24,2642342,"Africa"
"Malawi","MWI",2011,18.07,3079971,"Africa"
"Malawi","MWI",2013,19.46,3251280,"Africa"
"Malawi","MWI",2017,20.95,3674911,"Africa"
"Malawi","MWI",2020,19.41,4073817,"Africa"
"Malaysia","MYS",2011,14.37,5807631,"Asia"
"Malaysia","MYS",2012,13.95,5822500,"Asia"
"Malaysia","MYS",2013,13.65,5835429,"Asia"
"Malaysia","MYS",2014,12.77,5851292,"Asia"
"Malaysia","MYS",2016,11.69,5894267,"Asia"
"Malaysia","MYS",2017,11.8,5918163,"Asia"
"Malaysia","MYS",2018,12.47,5944209,"Asia"
"Malaysia","MYS",2019,11.41,5977503,"Asia"
"Malaysia","MYS",2020,13.63,5989715,"Asia"
"Maldives","MDV",2009,32.54,92398,"Asia"
"Maldives","MDV",2014,21.84,85138,"Asia"
"Maldives","MDV",2016,23.79,84022,"Asia"
"Maldives","MDV",2019,26.27,80487,"Asia"
"Mali","MLI",2010,13.47,3116990,"Africa"
"Mali","MLI",2013,18.22,3306979,"Africa"
"Mali","MLI",2014,21.31,3402660,"Africa"
"Mali","MLI",2015,24.94,3511533,"Africa"
"Mali","MLI",2016,33.98,3633816,"Africa"
"Mali","MLI",2017,28.56,3768258,"Africa"
"Mali","MLI",2018,26.72,3913003,"Africa"
"Mali","MLI",2020,30.86,4240843,"Africa"
"Malta","MLT",2004,12.22,60155,"Europe"
"Malta","MLT",2005,11.9,60162,"Europe"
"Malta","MLT",2006,10.34,60204,"Europe"
"Malta","MLT",2007,11.54,60063,"Europe"
"Malta","MLT",2008,8.27,59671,"Europe"
"Malta","MLT",2009,9.88,59147,"Europe"
"Malta","MLT",2010,9.53,58457,"Europe"
"Malta","MLT",2011,10.18,57728,"Europe"
"Malta","MLT",2012,10.82,57093,"Europe"
"Malta","MLT",2013,9.91,56192,"Europe"
"Malta","MLT",2014,10.27,55427,"Europe"
"Malta","MLT",2015,10.54,55022,"Europe"
"Malta","MLT",2016,8.76,54347,"Europe"
"Malta","MLT",2017,8.59,53862,"Europe"
"Malta","MLT",2018,7.28,54078,"Europe"
"Malta","MLT",2019,8.56,54639,"Europe"
"Malta","MLT",2020,9.3,54489,"Europe"
"Malta","MLT",2021,13.5,52653,"Europe"
"Marshall Islands","MHL",2019,42.94,8315,"Oceania"
"Mauritania","MRT",2012,39.7,695072,"Africa"
"Mauritania","MRT",2017,35.53,802386,"Africa"
"Mauritania","MRT",2019,44.08,855576,"Africa"
"Mauritius","MUS",2001,33.84,214964,"Africa"
